Gen{w1=22.0, w2=24.0, w3=16.0, w4=15.0}  wins  Gen{w1=4.0, w2=23.0, w3=7.0, w4=9.0}
Gen{w1=22.0, w2=24.0, w3=16.0, w4=15.0}  wins  Gen{w1=14.0, w2=5.0, w3=3.0, w4=19.0}
Gen{w1=4.0, w2=23.0, w3=7.0, w4=9.0}  wins  Gen{w1=14.0, w2=5.0, w3=3.0, w4=19.0}
Gen{w1=18.0, w2=14.0, w3=2.0, w4=18.0}  wins  Gen{w1=17.0, w2=29.0, w3=17.0, w4=28.0}
Gen{w1=18.0, w2=14.0, w3=2.0, w4=18.0}  wins  Gen{w1=6.0, w2=26.0, w3=6.0, w4=19.0}
Gen{w1=16.0, w2=22.0, w3=7.0, w4=4.0}  wins  Gen{w1=18.0, w2=14.0, w3=2.0, w4=18.0}
Gen{w1=16.0, w2=22.0, w3=7.0, w4=4.0}  wins  Gen{w1=6.0, w2=26.0, w3=6.0, w4=19.0}
Gen{w1=13.0, w2=26.0, w3=17.0, w4=26.0}  wins  Gen{w1=22.0, w2=24.0, w3=16.0, w4=15.0}
Gen{w1=13.0, w2=26.0, w3=17.0, w4=26.0}  wins  Gen{w1=15.0, w2=16.0, w3=24.0, w4=11.0}
Gen{w1=13.0, w2=26.0, w3=17.0, w4=26.0}  wins  Gen{w1=10.0, w2=16.0, w3=29.0, w4=28.0}
Gen{w1=13.0, w2=26.0, w3=17.0, w4=26.0}  wins  Gen{w1=0.0, w2=25.0, w3=15.0, w4=19.0}
Gen{w1=22.0, w2=24.0, w3=16.0, w4=15.0}  wins  Gen{w1=15.0, w2=16.0, w3=24.0, w4=11.0}
Gen{w1=22.0, w2=24.0, w3=16.0, w4=15.0}  wins  Gen{w1=10.0, w2=16.0, w3=29.0, w4=28.0}
Gen{w1=0.0, w2=25.0, w3=15.0, w4=19.0}  wins  Gen{w1=22.0, w2=24.0, w3=16.0, w4=15.0}
Gen{w1=0.0, w2=25.0, w3=15.0, w4=19.0}  wins  Gen{w1=15.0, w2=16.0, w3=24.0, w4=11.0}
Gen{w1=0.0, w2=25.0, w3=15.0, w4=19.0}  wins  Gen{w1=10.0, w2=16.0, w3=29.0, w4=28.0}
Gen{w1=18.0, w2=28.0, w3=8.0, w4=7.0}  wins  Gen{w1=14.0, w2=5.0, w3=3.0, w4=19.0}
Gen{w1=18.0, w2=29.0, w3=24.0, w4=28.0}  wins  Gen{w1=18.0, w2=28.0, w3=8.0, w4=7.0}
Gen{w1=18.0, w2=29.0, w3=24.0, w4=28.0}  wins  Gen{w1=18.0, w2=29.0, w3=24.0, w4=28.0}
Gen{w1=18.0, w2=28.0, w3=8.0, w4=7.0}  wins  Gen{w1=18.0, w2=29.0, w3=24.0, w4=28.0}
Gen{w1=18.0, w2=14.0, w3=2.0, w4=18.0}  wins  Gen{w1=20.0, w2=0.0, w3=27.0, w4=14.0}
Gen{w1=1.0, w2=26.0, w3=9.0, w4=1.0}  wins  Gen{w1=20.0, w2=0.0, w3=27.0, w4=14.0}
Gen{w1=1.0, w2=26.0, w3=9.0, w4=1.0}  wins  Gen{w1=18.0, w2=14.0, w3=2.0, w4=18.0}
Gen{w1=18.0, w2=14.0, w3=2.0, w4=18.0}  wins  Gen{w1=10.0, w2=22.0, w3=22.0, w4=13.0}
Gen{w1=1.0, w2=26.0, w3=9.0, w4=1.0}  wins  Gen{w1=16.0, w2=7.0, w3=27.0, w4=8.0}
Gen{w1=1.0, w2=26.0, w3=9.0, w4=1.0}  wins  Gen{w1=10.0, w2=22.0, w3=22.0, w4=13.0}
Gen{w1=4.0, w2=23.0, w3=7.0, w4=9.0}  wins  Gen{w1=8.0, w2=5.0, w3=1.0, w4=23.0}
Gen{w1=22.0, w2=24.0, w3=16.0, w4=15.0}  wins  Gen{w1=18.0, w2=28.0, w3=8.0, w4=7.0}
Gen{w1=4.0, w2=23.0, w3=7.0, w4=9.0}  wins  Gen{w1=18.0, w2=28.0, w3=8.0, w4=7.0}
Gen{w1=18.0, w2=28.0, w3=8.0, w4=7.0}  wins  Gen{w1=14.0, w2=5.0, w3=3.0, w4=19.0}
Gen{w1=4.0, w2=23.0, w3=7.0, w4=9.0}  wins  Gen{w1=22.0, w2=24.0, w3=16.0, w4=15.0}
Gen{w1=22.0, w2=24.0, w3=16.0, w4=15.0}  wins  Gen{w1=14.0, w2=5.0, w3=3.0, w4=19.0}
Gen{w1=4.0, w2=23.0, w3=7.0, w4=9.0}  wins  Gen{w1=14.0, w2=5.0, w3=3.0, w4=19.0}
Gen{w1=18.0, w2=14.0, w3=2.0, w4=18.0}  wins  Gen{w1=17.0, w2=29.0, w3=17.0, w4=28.0}
Gen{w1=16.0, w2=22.0, w3=7.0, w4=4.0}  wins  Gen{w1=18.0, w2=14.0, w3=2.0, w4=18.0}
Gen{w1=16.0, w2=22.0, w3=7.0, w4=4.0}  wins  Gen{w1=6.0, w2=26.0, w3=6.0, w4=19.0}
Gen{w1=13.0, w2=26.0, w3=17.0, w4=26.0}  wins  Gen{w1=22.0, w2=24.0, w3=16.0, w4=15.0}
Gen{w1=13.0, w2=26.0, w3=17.0, w4=26.0}  wins  Gen{w1=10.0, w2=16.0, w3=29.0, w4=28.0}
Gen{w1=0.0, w2=25.0, w3=15.0, w4=19.0}  wins  Gen{w1=13.0, w2=26.0, w3=17.0, w4=26.0}
Gen{w1=0.0, w2=25.0, w3=15.0, w4=19.0}  wins  Gen{w1=22.0, w2=24.0, w3=16.0, w4=15.0}
Gen{w1=0.0, w2=25.0, w3=15.0, w4=19.0}  wins  Gen{w1=10.0, w2=16.0, w3=29.0, w4=28.0}
Gen{w1=18.0, w2=28.0, w3=8.0, w4=7.0}  wins  Gen{w1=14.0, w2=5.0, w3=3.0, w4=19.0}
Gen{w1=18.0, w2=29.0, w3=24.0, w4=28.0}  wins  Gen{w1=21.0, w2=9.0, w3=26.0, w4=18.0}
Gen{w1=18.0, w2=28.0, w3=8.0, w4=7.0}  wins  Gen{w1=21.0, w2=9.0, w3=26.0, w4=18.0}
Gen{w1=18.0, w2=28.0, w3=8.0, w4=7.0}  wins  Gen{w1=18.0, w2=29.0, w3=24.0, w4=28.0}
Gen{w1=18.0, w2=29.0, w3=24.0, w4=28.0}  wins  Gen{w1=18.0, w2=29.0, w3=24.0, w4=28.0}
Gen{w1=18.0, w2=28.0, w3=8.0, w4=7.0}  wins  Gen{w1=18.0, w2=29.0, w3=24.0, w4=28.0}
Gen{w1=20.0, w2=0.0, w3=27.0, w4=14.0}  wins  Gen{w1=18.0, w2=14.0, w3=2.0, w4=18.0}
Gen{w1=20.0, w2=0.0, w3=27.0, w4=14.0}  wins  Gen{w1=1.0, w2=26.0, w3=9.0, w4=1.0}
Gen{w1=20.0, w2=0.0, w3=27.0, w4=14.0}  wins  Gen{w1=10.0, w2=22.0, w3=22.0, w4=13.0}
Gen{w1=18.0, w2=14.0, w3=2.0, w4=18.0}  wins  Gen{w1=1.0, w2=26.0, w3=9.0, w4=1.0}
Gen{w1=18.0, w2=14.0, w3=2.0, w4=18.0}  wins  Gen{w1=10.0, w2=22.0, w3=22.0, w4=13.0}
Gen{w1=18.0, w2=28.0, w3=8.0, w4=7.0}  wins  Gen{w1=8.0, w2=5.0, w3=1.0, w4=23.0}
Gen{w1=18.0, w2=28.0, w3=8.0, w4=7.0}  wins  Gen{w1=22.0, w2=24.0, w3=16.0, w4=15.0}
Gen{w1=18.0, w2=28.0, w3=8.0, w4=7.0}  wins  Gen{w1=4.0, w2=23.0, w3=7.0, w4=9.0}
Gen{w1=18.0, w2=28.0, w3=8.0, w4=7.0}  wins  Gen{w1=14.0, w2=5.0, w3=3.0, w4=19.0}
Gen{w1=22.0, w2=24.0, w3=16.0, w4=15.0}  wins  Gen{w1=4.0, w2=23.0, w3=7.0, w4=9.0}
Gen{w1=22.0, w2=24.0, w3=16.0, w4=15.0}  wins  Gen{w1=14.0, w2=5.0, w3=3.0, w4=19.0}
Gen{w1=4.0, w2=23.0, w3=7.0, w4=9.0}  wins  Gen{w1=14.0, w2=5.0, w3=3.0, w4=19.0}
best gene is = Gen{w1=11.0, w2=27.0, w3=24.0, w4=29.0}

final genes : 
